,manufacturer,model,sales_in_thousands,year_resale_value,vehicle_type,price_in_thousands,engine_size,horsepower,wheel_base,width,length,curb_weight,fuel_capacity,fuel_efficiency
64,hyundai,sonata,29.45,8.91,car,14.999,2.4,148,106.3,71.6,185.4,3.072,17.2,25.0
65,infiniti,i30,23.713,19.69,car,29.465,3.0,227,108.3,70.2,193.7,3.342,18.5,25.0
66,jaguar,s-type,15.467,18.073,car,42.8,3.0,240,114.5,71.6,191.3,3.65,18.4,21.0
67,jeep,wrangler,55.557,13.475,truck/suv,14.46,2.5,120,93.4,66.7,152.0,3.045,19.0,17.0
68,jeep,cherokee,80.556,13.775,truck/suv,21.62,4.0,190,101.4,69.4,167.5,3.194,20.0,20.0
69,jeep,grand cherokee,157.04,18.81,truck/suv,26.895,4.0,195,105.9,72.3,181.5,3.88,20.5,19.0
70,lexus,es300,24.072,26.975,car,31.505,3.0,210,105.1,70.5,190.2,3.373,18.5,23.0
71,lexus,gs300,12.698,32.075,car,37.805,3.0,225,110.2,70.9,189.2,3.638,19.8,23.0
72,lexus,gs400,3.334,18.073,car,46.305,4.0,300,110.2,70.9,189.2,3.693,19.8,21.0
73,lexus,ls400,6.375,40.375,car,54.005,4.0,290,112.2,72.0,196.7,3.89,22.5,22.0
74,lexus,lx470,9.126,18.073,truck/suv,60.105,4.7,230,112.2,76.4,192.5,5.401,25.4,15.0
75,lexus,rx300,51.238,18.073,truck/suv,34.605,3.0,220,103.0,71.5,180.1,3.9,17.2,21.0
76,lincoln,continental,13.798,20.525,car,39.08,4.6,275,109.0,73.6,208.5,3.868,20.0,22.0
77,lincoln,town car,48.911,21.725,car,43.33,4.6,215,117.7,78.2,215.3,4.121,19.0,21.0
78,lincoln,navigator,22.925,18.073,truck/suv,42.66,5.4,300,119.0,79.9,204.8,5.393,30.0,15.0
79,mitsubishi,mirage,26.232,8.325,car,13.987,1.8,113,98.4,66.5,173.6,2.25,13.2,30.0
80,mitsubishi,eclipse,42.541,10.395,car,19.047,2.4,154,100.8,68.9,175.4,2.91,15.9,24.0
81,mitsubishi,galant,55.616,10.595,car,17.357,2.4,145,103.7,68.5,187.8,2.945,16.3,25.0
82,mitsubishi,diamante,5.711,16.575,car,24.997,3.5,210,107.1,70.3,194.1,3.443,19.0,22.0
83,mitsubishi,3000gt,0.11,20.94,car,25.45,3.0,161,97.2,72.4,180.3,3.131,19.8,21.0
84,mitsubishi,montero,11.337,19.125,truck/suv,31.807,3.5,200,107.3,69.9,186.6,4.52,24.3,18.0
85,mitsubishi,montero sport,39.348,13.88,truck/suv,22.527,3.0,173,107.3,66.7,178.3,3.51,19.5,20.0
86,mercury,mystique,14.351,8.8,car,16.24,2.0,125,106.5,69.1,184.8,2.769,15.0,28.0
87,mercury,cougar,26.529,13.89,car,16.54,2.0,125,106.4,69.6,185.0,2.892,16.0,30.0
88,mercury,sable,67.956,11.03,car,19.035,3.0,153,108.5,73.0,199.7,3.379,16.0,24.0
89,mercury,grand marquis,81.174,14.875,car,22.605,4.6,200,114.7,78.2,212.0,3.958,19.0,21.0
90,mercury,mountaineer,27.609,20.43,truck/suv,27.56,4.0,210,111.6,70.2,190.1,3.876,21.0,18.0
91,mercury,villager,20.38,14.795,truck/suv,22.51,3.3,170,112.2,74.9,194.7,3.944,20.0,21.0
92,mercedes-b,c-class,18.392,26.05,car,31.75,2.3,185,105.9,67.7,177.4,3.25,16.4,26.0
93,mercedes-b,e-class,27.602,41.45,car,49.9,3.2,221,111.5,70.8,189.4,3.823,21.1,25.0
94,mercedes-b,s-class,16.774,50.375,car,69.7,4.3,275,121.5,73.1,203.1,4.133,23.2,21.0
95,mercedes-b,sl-class,3.311,58.6,car,82.6,5.0,302,99.0,71.3,177.1,4.125,21.1,20.0
96,mercedes-b,slk,7.998,18.073,car,38.9,2.3,190,94.5,67.5,157.9,3.055,15.9,26.0
97,mercedes-b,slk230,1.526,18.073,car,41.0,2.3,185,94.5,67.5,157.3,2.975,14.0,27.0
98,mercedes-b,clk coupe,11.592,18.073,car,41.6,3.2,215,105.9,67.8,180.3,3.213,16.4,26.0
99,mercedes-b,cl500,0.954,18.073,car,85.5,5.0,302,113.6,73.1,196.6,4.115,23.2,20.0
100,mercedes-b,m-class,28.976,18.073,truck/suv,35.3,3.2,215,111.0,72.2,180.6,4.387,19.0,20.0
101,nissan,sentra,42.643,8.45,car,13.499,1.8,126,99.8,67.3,177.5,2.593,13.2,30.0
102,nissan,altima,88.094,11.295,car,20.39,2.4,155,103.1,69.1,183.5,3.012,15.9,25.0
103,nissan,maxima,79.853,15.125,car,26.249,3.0,222,108.3,70.3,190.5,3.294,18.5,25.0
104,nissan,quest,27.308,15.38,truck/suv,26.399,3.3,170,112.2,74.9,194.8,3.991,20.0,21.0
105,nissan,pathfinder,42.574,17.81,truck/suv,29.299,3.3,170,106.3,71.7,182.6,3.947,21.0,19.0
106,nissan,xterra,54.158,18.073,truck/suv,22.799,3.3,170,104.3,70.4,178.0,3.821,19.4,18.0
107,nissan,frontier,65.005,18.073,truck/suv,17.89,3.3,170,116.1,66.5,196.1,3.217,19.4,18.0
108,oldsmobile,cutlass,1.112,11.24,car,18.145,3.1,150,107.0,69.4,192.0,3.102,15.2,25.0
109,oldsmobile,intrigue,38.554,18.073,car,24.15,3.5,215,109.0,73.6,195.9,3.455,18.0,23.8
110,oldsmobile,alero,80.255,18.073,car,18.27,2.4,150,107.0,70.1,186.7,2.958,15.0,27.0
111,oldsmobile,aurora,14.69,19.89,car,36.229,4.0,250,113.8,74.4,205.4,3.967,18.5,22.0
112,oldsmobile,bravada,20.017,19.925,truck/suv,31.598,4.3,190,107.0,67.8,181.2,4.068,17.5,19.0
113,oldsmobile,silhouette,24.361,15.24,truck/suv,25.345,3.4,185,120.0,72.2,201.4,3.948,25.0,22.0
114,plymouth,neon,32.734,7.75,car,12.64,2.0,132,105.0,74.4,174.4,2.559,12.5,29.0
115,plymouth,breeze,5.24,9.8,car,16.08,2.0,132,108.0,71.0,186.3,2.942,16.0,27.0
116,plymouth,voyager,24.155,12.025,truck/suv,18.85,2.4,150,113.3,76.8,186.3,3.528,20.0,24.0
117,plymouth,prowler,1.872,18.073,car,43.0,3.5,253,113.3,76.3,165.4,2.85,12.0,21.0
118,pontiac,sunfire,51.645,13.79,car,21.61,2.4,150,104.1,68.4,181.9,2.906,15.0,27.0
119,pontiac,grand am,131.097,10.29,car,19.72,3.4,175,107.0,70.4,186.3,3.091,15.2,25.0
120,pontiac,firebird,19.911,17.805,car,25.31,3.8,200,101.1,74.5,193.4,3.492,16.8,25.0
121,pontiac,grand prix,92.364,14.01,car,21.665,3.8,195,110.5,72.7,196.5,3.396,18.0,25.0
122,pontiac,bonneville,35.945,13.225,car,23.755,3.8,205,112.2,72.6,202.5,3.59,17.5,24.0
123,pontiac,montana,39.572,18.073,truck/suv,25.635,3.4,185,120.0,72.7,201.3,3.942,25.0,23.0
124,porsche,boxter,8.982,41.25,car,41.43,2.7,217,95.2,70.1,171.0,2.778,17.0,22.0
125,porsche,carrera coupe,1.28,60.625,car,71.02,3.4,300,92.6,69.5,174.5,3.032,17.0,21.0
126,porsche,carrera cabrio,1.866,67.55,car,74.97,3.4,300,92.6,69.5,174.5,3.075,17.0,23.0
127,saab,5-sep,9.191,18.073,car,33.12,2.3,170,106.4,70.6,189.2,3.28,18.5,23.0
128,saab,3-sep,12.115,18.073,car,26.1,2.0,185,102.6,67.4,182.2,2.99,16.9,23.0
129,saturn,sl,80.62,9.2,car,10.685,1.9,100,102.4,66.4,176.9,2.332,12.1,33.0
130,saturn,sc,24.546,10.59,car,12.535,1.9,100,102.4,66.4,180.0,2.367,12.1,33.0
131,saturn,sw,5.223,10.79,car,14.29,1.9,124,102.4,66.4,176.9,2.452,12.1,31.0
132,saturn,lw,8.472,18.073,car,18.835,2.2,137,106.5,69.0,190.4,3.075,13.1,27.0
133,saturn,ls,49.989,18.073,car,15.01,2.2,137,106.5,69.0,190.4,2.91,13.1,28.0
134,subaru,outback,47.107,18.073,car,22.695,2.5,165,103.5,67.5,185.8,3.415,16.9,25.0
135,subaru,forester,33.028,18.073,truck/suv,20.095,2.5,165,99.4,68.3,175.2,3.125,15.9,24.0
136,toyota,corolla,142.535,10.025,car,13.108,1.8,120,97.0,66.7,174.0,2.42,13.2,33.0
137,toyota,camry,247.994,13.245,car,17.518,2.2,133,105.2,70.1,188.5,2.998,18.5,27.0
138,toyota,avalon,63.849,18.14,car,25.545,3.0,210,107.1,71.7,191.9,3.417,18.5,26.0
139,toyota,celica,33.269,15.445,car,16.875,1.8,140,102.4,68.3,170.5,2.425,14.5,31.0
140,toyota,tacoma,84.087,9.575,truck/suv,11.528,2.4,142,103.3,66.5,178.7,2.58,15.1,23.0
141,toyota,sienna,65.119,18.073,truck/suv,22.368,3.0,194,114.2,73.4,193.5,3.759,20.9,22.0
142,toyota,rav4,25.106,13.325,truck/suv,16.888,2.0,127,94.9,66.7,163.8,2.668,15.3,27.0
143,toyota,4runner,68.411,19.425,truck/suv,22.288,2.7,150,105.3,66.5,183.3,3.44,18.5,23.0
144,toyota,land cruiser,9.835,34.08,truck/suv,51.728,4.7,230,112.2,76.4,192.5,5.115,25.4,15.0
145,volkswagen,golf,9.761,11.425,car,14.9,2.0,115,98.9,68.3,163.3,2.767,14.5,26.0
146,volkswagen,jetta,83.721,13.24,car,16.7,2.0,115,98.9,68.3,172.3,2.853,14.5,26.0
147,volkswagen,passat,51.102,16.725,car,21.2,1.8,150,106.4,68.5,184.1,3.043,16.4,27.0
148,volkswagen,cabrio,9.569,16.575,car,19.99,2.0,115,97.4,66.7,160.4,3.079,13.7,26.0
149,volkswagen,gti,5.596,13.76,car,17.5,2.0,115,98.9,68.3,163.3,2.762,14.6,26.0
150,volkswagen,beetle,49.463,18.073,car,15.9,2.0,115,98.9,67.9,161.1,2.769,14.5,26.0
151,volvo,s40,16.957,18.073,car,23.4,1.9,160,100.5,67.6,176.6,2.998,15.8,25.0
152,volvo,v40,3.545,18.073,car,24.4,1.9,160,100.5,67.6,176.6,3.042,15.8,25.0
153,volvo,s70,15.245,18.073,car,27.5,2.4,168,104.9,69.3,185.9,3.208,17.9,25.0
154,volvo,v70,17.531,18.073,car,28.8,2.4,168,104.9,69.3,186.2,3.259,17.9,25.0
155,volvo,c70,3.493,18.073,car,45.5,2.3,236,104.9,71.5,185.7,3.601,18.5,23.0
156,volvo,s80,18.969,18.073,car,36.0,2.9,201,109.9,72.1,189.8,3.6,21.1,24.0
